API,Formation,Operator,FirstProdDate,Latitude,Longitude,TVD_FT,PLL,GORi
4900561044,PARKMAN,DEVON,6/1/2011,44.1768605,-105.824749,6733,5187.817809, 392 
4900561131,TEAPOT,DEVON,6/1/2011,43.7475395,-105.5927515,12459,4562.929276, 437 
4900561164,TURNER-FRONTIER,EOG,11/1/2012,43.5107075,-105.4912895,10866,3890.418416," 8,123 "
4900561172,TURNER-FRONTIER,EOG,4/1/2014,43.526781,-105.4787035,10237,4504.736944," 9,137 "
4900561212,TURNER-FRONTIER,EMEP II OPERATING LLC,8/1/2011,43.7873925,-105.396941,8961,4168.995592, 858 
4900561271,TURNER-FRONTIER,BALLARD PETROLEUM,3/1/2012,43.6712625,-105.650017,10809,3801.043135, 552 
4900561310,TURNER-FRONTIER,EOG,11/1/2012,43.5268405,-105.4953665,10276,3937.48344," 7,622 "
4900561318,TURNER-FRONTIER,EOG,12/1/2011,43.6708635,-105.5994655,10547,4180.583033," 1,191 "
4900930834,NIOBRARA,IMPACT E&P LLC,12/1/2020,43.171536,-105.848176,12387,9763.341212," 2,168 "
4900930929,TURNER-FRONTIER,EOG,8/1/2017,43.449267,-105.3712385,10166,10877.67811," 1,417 "
4900561404,TURNER-FRONTIER,EOG,10/1/2013,43.579133,-105.4378025,10092,3801.043497," 21,111 "
4900561442,PARKMAN,EOG,10/1/2020,43.5474155,-105.5374575,7590,9350.545011, 692 
4900561463,PARKMAN,DEVON,8/1/2012,44.2174395,-105.8850385,11800,4087.80368, 367 
4900561483,MOWRY,DEVON,11/1/2012,43.846383,-105.597682,10771,4192.386373, 470 
4900561505,SHANNON,TRUE COMPANIES,10/1/2014,43.6707405,-105.9441235,10372,5024.226006, 235 
4900561565,TURNER-FRONTIER,EOG,3/1/2013,43.7435665,-105.731066,11048,4230.399616, 426 
4900561584,TURNER-FRONTIER,DEVON,10/1/2012,43.774367,-105.511601,9569,3973.16124," 1,018 "
4900561598,PARKMAN,CITATION OIL & GAS,10/1/2012,43.878465,-105.759764,7857,3097.106412, 200 
4900561610,TURNER-FRONTIER,EOG,11/1/2013,43.628083,-105.5291675,10300,4365.414771," 2,576 "
4900561612,TURNER-FRONTIER,EOG,2/1/2014,43.7000455,-105.7206605,11060,4292.378073, 469 
4900561619,PARKMAN,DEVON,10/1/2012,43.75924,-105.5599615,7269,4023.532553, 253 
4900561623,NIOBRARA,DEVON,1/1/2013,43.7606725,-105.479104,9282,3818.73344, 743 
4900561706,TURNER-FRONTIER,EOG,7/1/2016,43.568245,-105.547884,10669,4749.512065," 7,521 "
4900561723,TURNER-FRONTIER,BALLARD PETROLEUM,4/1/2014,43.6714125,-105.671675,10842,3769.557943, 584 
4900561759,TURNER-FRONTIER,BALLARD PETROLEUM,8/1/2013,43.656361,-105.656353,10949,3100.619603, 578 
4900561797,NIOBRARA,DEVON,10/1/2013,43.773833,-105.6772465,10273,3991.877373, 464 
